-1-
北京市小客车指标调控管理信息系统
单位新能源指标配置
期号：201601
描述：2016年第01期单位示范应用新能源小客车指标配置结果
指标配置日期：2016-02-26
实际指标配置时间：2016-02-26 10:21:35
有效编码总数：1819
指标配置总数：1819
-指标配置列表-
轮候序号 轮候时间 申请编码
1 2016-01-01 00:03:49.870 0374105303348
2 2016-01-01 09:14:15.830 4650105303522
3 2016-01-01 09:14:25.888 5317105303503
4 2016-01-01 10:01:13.874 9563105303626
5 2016-01-01 10:26:28.300 6417105303715
6 2016-01-01 10:26:28.300 2555105303716
7 2016-01-01 11:56:15.362 8624105303928
8 2016-01-01 12:43:15.894 1530105304045
9 2016-01-01 12:43:15.894 4448105304046
10 2016-01-01 14:29:22.490 9418105304277
11 2016-01-01 14:37:25.166 0603105304308
12 2016-01-01 15:45:42.880 4962105304422
13 2016-01-01 16:21:30.724 5078105304514
14 2016-01-01 17:10:13.899 0651105304635
15 2016-01-01 18:26:59.310 9577105304784
16 2016-01-01 18:26:59.310 9486105304785
17 2016-01-01 18:26:59.310 8176105304786
18 2016-01-01 19:24:48.318 4896105304946
19 2016-01-01 20:44:53.671 6168105305140
20 2016-01-01 21:18:23.767 5378105305230
21 2016-01-01 21:42:25.874 6283105305277
22 2016-01-01 22:14:20.382 0866105305337
-2-
23 2016-01-01 22:41:51.300 3151105305408
24 2016-01-01 22:56:45.990 0124105305444
25 2016-01-02 09:19:58.852 7125105305596
26 2016-01-02 09:21:42.512 8776105305581
27 2016-01-02 10:36:11.271 8295105305742
28 2016-01-02 12:44:56.535 5799105306023
29 2016-01-02 12:45:42.923 3769105306037
30 2016-01-02 15:02:27.518 4211105306368
31 2016-01-02 22:09:43.672 3131105307353
32 2016-01-03 08:13:58.520 0005105307556
33 2016-01-03 10:09:38.692 2771105347597
34 2016-01-03 15:03:54.619 9224105308643
35 2016-01-03 15:13:13.163 8823105308685
36 2016-01-03 15:26:36.915 7127105308706
37 2016-01-03 15:31:34.593 0590105308731
38 2016-01-03 18:51:39.462 7750105309285
39 2016-01-03 21:49:39.615 3895105309819
40 2016-01-04 08:29:14.802 3112105310128
41 2016-01-04 08:34:16.726 7482105310133
42 2016-01-04 08:45:48.679 2667105310178
43 2016-01-04 08:50:11.810 6806105310225
44 2016-01-04 08:59:28.776 7231105310403
45 2016-01-04 09:10:08.520 9341105310361
46 2016-01-04 09:11:12.839 3373105310365
47 2016-01-04 09:16:11.977 4293105310409
48 2016-01-04 09:29:28.231 2628105310550
49 2016-01-04 09:44:45.427 7309105310699
50 2016-01-04 09:46:07.132 0290105310726
51 2016-01-04 09:50:34.556 6959105310784
52 2016-01-04 09:50:34.556 8694105337171
53 2016-01-04 09:51:34.383 3265105310806
54 2016-01-04 09:53:15.300 2493105413268
55 2016-01-04 09:53:51.937 6750105310810
56 2016-01-04 09:57:42.346 6412105310867
57 2016-01-04 09:59:54.912 6043105310856
58 2016-01-04 10:00:28.698 7840105310954
59 2016-01-04 10:03:19.386 0506105310970
60 2016-01-04 10:04:34.354 0301105310975
-3-
61 2016-01-04 10:05:32.940 5030105311006
62 2016-01-04 10:07:09.633 5524105311013
63 2016-01-04 10:14:56.490 6188105311133
64 2016-01-04 10:18:55.674 0483105311195
65 2016-01-04 10:18:55.674 2195105311196
66 2016-01-04 10:18:55.674 7509105311197
67 2016-01-04 10:18:55.674 4873105311198
68 2016-01-04 10:18:55.674 0588105311199
69 2016-01-04 10:19:15.900 2343105311220
70 2016-01-04 10:24:49.871 2162105311314
71 2016-01-04 10:24:49.871 3791105311315
72 2016-01-04 10:27:49.474 3640105311374
73 2016-01-04 10:30:10.667 9542105311413
74 2016-01-04 10:33:23.407 7820105311462
75 2016-01-04 10:46:47.875 2625105311672
76 2016-01-04 10:49:53.622 1116105311745
77 2016-01-04 10:52:22.425 5809105311743
78 2016-01-04 10:57:06.860 0398105311881
79 2016-01-04 10:57:17.672 3807105340002
80 2016-01-04 10:57:17.672 2279105340003
81 2016-01-04 10:57:17.672 4123105340004
82 2016-01-04 10:57:17.672 8834105340005
